Language,#Repos
jupyter notebook,7725
python,5827
c++,1369
html,1215
javascript,1189
java,916
c,722
matlab,561
c#,500
r,438
php,297
css,295
typescript,278
shell,161
tex,137
go,102
ruby,95
verilog,80
dart,70
rust,62
kotlin,51
makefile,48
vue,47
lua,45
arduino,44
julia,42
vhdl,42
swift,42
processing,39
assembly,31
purebasic,25
scss,25
scala,23
g-code,23
tsql,22
dockerfile,21
cmake,21
openscad,19
ampl,18
ejs,18
pascal,18
asp,17
roff,16
qml,15
powershell,15
visual basic .net,15
perl,15
fortran,15
eagle,14
blade,13
solidity,13
tcl,11
objective-c,10
visual basic,10
hcl,9
cuda,9
rich text format,9
stata,8
common lisp,8
shaderlab,8
gams,8
postscript,8
nesc,8
prolog,8
labview,7
groovy,7
elixir,7
mathematica,7
openedge abl,7
batchfile,7
plpgsql,7
haskell,6
asp.net,6
svelte,6
hack,6
vba,6
web ontology language,5
kicad,5
f#,5
clojure,5
systemverilog,5
ada,5
smalltalk,5
gdscript,4
sas,4
max,4
pug,4
ags script,4
d,4
kvlang,4
erlang,4
plsql,4
al,3
supercollider,3
glsl,3
zeek,3
clips,3
modelica,3
bicep,3
netlogo,3
mercury,3
vim script,2
gnuplot,2
jetbrains mps,2
mcfunction,2
jinja,2
antlr,2
ocaml,2
logos,2
mermaid,2
asl,2
visual basic 6.0,2
rascal,2
xslt,2
bitbake,2
smt,2
tla,2
handlebars,2
nextflow,1
saltstack,1
wollok,1
routeros script,1
kicad layout,1
raml,1
p4,1
terra,1
twig,1
rebol,1
autohotkey,1
vbscript,1
elm,1
component pascal,1
cobol,1
apacheconf,1
f*,1
sql,1
yacc,1
limbo,1
move,1
classic asp,1
parrot,1
scilab,1
q,1
nsis,1
jsonnet,1
papyrus,1
apex,1
puppet,1
mako,1
yara,1
delphi,1
piglatin,1
coq,1
bluespec,1
abap,1
api blueprint,1
standard ml,1
nix,1
llvm,1
sqf,1
alloy,1
zig,1
sass,1
astro,1
hiveql,1
lex,1
motoko,1
pddl,1
rexx,1
smarty,1
objectscript,1
emacs lisp,1
livescript,1
coldfusion,1
lookml,1
xc,1
imagej macro,1
m,1
opa,1
